park_id,park_name,country,province,city,latitude,longitude,range_check,precision,boundary_note
NAT-025,福建漳州古雷港经济开发区,中国,福建省,漳州市,23.76,117.61,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-026,江西宜春经济技术开发区,中国,江西省,宜春市,27.82,114.42,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-027,山东烟台丁字湾新型能源创新区,中国,山东省,烟台市,36.72,121.08,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-028,山东东营垦利经济技术开发区,中国,山东省,东营市,37.59,118.55,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-029,河南郑州航空港高新技术产业开发区,中国,河南省,郑州市,34.52,113.84,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-030,湖北荆门高新技术产业开发区,中国,湖北省,荆门市,31.04,112.2,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-031,湖南湘潭经济技术开发区,中国,湖南省,湘潭市,27.85,112.92,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-032,广东汕头濠江产业园区,中国,广东省,汕头市,23.27,116.73,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-033,广东湛江临港经济区,中国,广东省,湛江市,21.1,110.4,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-034,广西龙港新区玉林龙潭产业园区,中国,广西壮族自治区,玉林市,21.62,109.73,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-035,广西北海铁山港（临海）工业区,中国,广西壮族自治区,北海市,21.47,109.46,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-036,广西百色战略性新兴产业园,中国,广西壮族自治区,百色市,23.9,106.62,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-037,海南海口国家高新技术产业开发区,中国,海南省,海口市,19.98,110.18,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-038,重庆两江新区,中国,重庆市,重庆市,29.72,106.57,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-039,四川宜宾临港经济技术开发区东部产业园,中国,四川省,宜宾市,28.8,104.72,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-040,贵州贵阳大数据科创城,中国,贵州省,贵阳市,26.42,106.65,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-041,云南大理祥云经济技术开发区,中国,云南省,大理州,25.48,100.55,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-042,云南曲靖经济技术开发区,中国,云南省,曲靖市,25.49,103.8,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-043,西藏拉萨经济技术开发区,中国,西藏自治区,拉萨市,29.65,91.05,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-044,陕西咸阳三原高新技术产业开发区,中国,陕西省,咸阳市,34.62,108.94,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-045,甘肃金昌经济技术开发区,中国,甘肃省,金昌市,38.52,102.19,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-046,甘肃庆阳东数西算产业园区,中国,甘肃省,庆阳市,35.73,107.64,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-047,青海西宁经济技术开发区南川工业园区,中国,青海省,西宁市,36.52,101.7,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-048,宁夏银川苏银产业园,中国,宁夏回族自治区,银川市,38.48,106.45,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-049,宁夏中卫工业园区,中国,宁夏回族自治区,中卫市,37.5,105.2,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-050,新疆乌鲁木齐甘泉堡经济技术开发区,中国,新疆维吾尔自治区,乌鲁木齐市,44.25,87.9,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-051,新疆库尔勒上库高新技术产业开发区,中国,新疆维吾尔自治区,巴音郭楞州,41.68,86.14,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-052,新疆生产建设兵团石河子经济技术开发区,中国,新疆生产建设兵团,石河子市,44.3,86.06,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
GD-001,广州南沙大岗先进制造业基地,中国,广东省,广州市,22.8,113.35,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
GD-002,汕头潮阳产业园区,中国,广东省,汕头市,23.25,116.6,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
GD-003,佛山高新技术产业开发区狮山产业园,中国,广东省,佛山市,23.11,113.0,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
GD-004,河源市高新技术开发区,中国,广东省,河源市,23.73,114.7,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
GD-005,梅州融湾产业园区,中国,广东省,梅州市,24.29,116.12,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
GD-006,惠州惠城高新技术产业开发区,中国,广东省,惠州市,23.08,114.4,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
GD-007,汕尾红海湾产业园区,中国,广东省,汕尾市,22.67,115.56,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
GD-008,中山翠亨新区产业园区,中国,广东省,中山市,22.48,113.54,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
GD-009,江门台山产业园区,中国,广东省,江门市,22.25,112.78,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
GD-010,阳江滨海新区（阳江高新区）园中园,中国,广东省,阳江市,21.86,111.98,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
GD-011,湛江经济技术开发区（东海岛）园中园,中国,广东省,湛江市,21.27,110.36,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
GD-012,茂名滨海新区绿色化工和氢能产业园区,中国,广东省,茂名市,21.47,111.01,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
GD-013,肇庆大旺新能源智能汽车产业城,中国,广东省,肇庆市,23.3,112.82,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
GD-014,潮州市新材料产业园,中国,广东省,潮州市,23.66,116.63,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
GD-015,云浮新兴产业园区,中国,广东省,云浮市,22.7,112.23,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
I001,Kalundborg Symbiosis,丹麦,西兰大区,Kalundborg,55.68,11.09,通过,国际案例所在园区近似中心,点位仅用于导航，不代表四至边界
I002,GreenLab Skive,丹麦,中日德兰大区,Skive,56.52,9.0,通过,国际案例所在园区近似中心,点位仅用于导航，不代表四至边界
I003,Sustainable Jurong Island,新加坡,西南区,Jurong Island,1.26,103.69,通过,国际案例所在园区近似中心,点位仅用于导航，不代表四至边界
I004,Ulsan Mipo–Onsan EIP,韩国,蔚山广域市,Ulsan,35.5,129.37,通过,国际案例所在园区近似中心,点位仅用于导航，不代表四至边界
I005,Kawasaki Eco-Town,日本,神奈川县,Kawasaki,35.52,139.75,通过,国际案例所在园区近似中心,点位仅用于导航，不代表四至边界
I006,Kitakyushu Eco-Town,日本,福冈县,Kitakyushu,33.89,130.83,通过,国际案例所在园区近似中心,点位仅用于导航，不代表四至边界
I007,Kwinana Industrial Area,澳大利亚,西澳大利亚州,Kwinana,-32.24,115.78,通过,国际案例所在园区近似中心,点位仅用于导航，不代表四至边界
I008,Hoa Khanh Industrial Zone,越南,岘港市,Da Nang,16.06,108.15,通过,国际案例所在园区近似中心,点位仅用于导航，不代表四至边界
I009,Zona Franca del Cauca,哥伦比亚,考卡省,Puerto Tejada,3.23,-76.42,通过,国际案例所在园区近似中心,点位仅用于导航，不代表四至边界
I010,Zona Franca del Pacífico,哥伦比亚,考卡山谷省,Palmira,3.53,-76.3,通过,国际案例所在园区近似中心,点位仅用于导航，不代表四至边界
I011,La Chutana Industrial Park,秘鲁,利马大区,Chilca,-12.38,-76.76,通过,国际案例所在园区近似中心,点位仅用于导航，不代表四至边界
I012,Piura Futura Industrial Park,秘鲁,皮乌拉大区,Piura,-5.13,-80.63,通过,国际案例所在园区近似中心,点位仅用于导航，不代表四至边界
